"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","South Andamans","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-17","2023","02","0.0046650377","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-18","2023","02","0.00948237","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-19","2023","02","0.0105699669","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-20","2023","02","0.011898164","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-21","2023","02","0.0101787547","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-23","2023","02","0.0003700101","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-01","2023","02","0.001638852","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-02","2023","02","0.0037859719","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-03","2023","02","0.0013096255","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-04","2023","02","0.0030470458","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-05","2023","02","0.0005826133","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-06","2023","02","0.0021800658","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-07","2023","02","0.0005708551","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-11","2023","02","0.0070596766","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-12","2023","02","0.0226921125","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-13","2023","02","0.001078407","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-15","2023","02","0.0015041606","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-02-16","2023","02","0.0248766351","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-17","2023","02","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-18","2023","02","1.07677E-5","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-19","2023","02","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-20","2023","02","5.3838E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-21","2023","02","8.0757E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-01","2023","02","0.0016894992","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-02","2023","02","0.0157013201","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-03","2023","02","0.0063850541","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-04","2023","02","8.0757E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-06","2023","02","5.3838E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-07","2023","02","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-09","2023","02","NA","NRSC VIC MODEL"
